[   32935ms] [LOG] ZZ @ https://cdn.intergient.com/pageos/V.2.5.150/main.7976e64f7b63033d7cb8.js:1
[   59945ms] [ERROR] Attestation check for Protected Audience on https://tlx.3lift.com failed. @ https://www.serebii.net/quest/attacks.shtml:0
[   59945ms] [ERROR] Attestation check for Protected Audience on https://fastlane.rubiconproject.com failed. @ https://www.serebii.net/quest/attacks.shtml:0
[   59945ms] [ERROR] Attestation check for Protected Audience on https://exchange.cootlogix.com failed. @ https://www.serebii.net/quest/attacks.shtml:0
[   59945ms] [ERROR] Attestation check for Protected Audience on https://direct.adsrvr.org failed. @ https://www.serebii.net/quest/attacks.shtml:0
[   59945ms] [ERROR] Attestation check for Protected Audience on https://btlr.sharethrough.com failed. @ https://www.serebii.net/quest/attacks.shtml:0
[   59945ms] [ERROR] Attestation check for Protected Audience on https://htlb.casalemedia.com failed. @ https://www.serebii.net/quest/attacks.shtml:0
[   59945ms] [ERROR] Attestation check for Protected Audience on https://ib.adnxs.com failed. @ https://www.serebii.net/quest/attacks.shtml:0
[   59945ms] [ERROR] Attestation check for Protected Audience on https://g2.gumgum.com failed. @ https://www.serebii.net/quest/attacks.shtml:0
[   59945ms] [ERROR] Attestation check for Protected Audience on https://rtb.openx.net failed. @ https://www.serebii.net/quest/attacks.shtml:0
[   59945ms] [ERROR] Attestation check for Protected Audience on https://hb.yellowblue.io failed. @ https://www.serebii.net/quest/attacks.shtml:0
[   59948ms] [ERROR] Attestation check for Protected Audience on https://hbopenbid.pubmatic.com failed. @ https://www.serebii.net/quest/attacks.shtml:0
[   59949ms] [ERROR] Attestation check for Protected Audience on https://grid-bidder.criteo.com failed. @ https://www.serebii.net/quest/attacks.shtml:0
[   60163ms] [ERROR] Attestation check for Protected Audience on https://fastlane.rubiconproject.com failed. @ https://www.serebii.net/quest/attacks.shtml:0
[   60163ms] [ERROR] Attestation check for Protected Audience on https://hb.yellowblue.io failed. @ https://www.serebii.net/quest/attacks.shtml:0
[   60163ms] [ERROR] Attestation check for Protected Audience on https://tlx.3lift.com failed. @ https://www.serebii.net/quest/attacks.shtml:0
[   60163ms] [ERROR] Attestation check for Protected Audience on https://ib.adnxs.com failed. @ https://www.serebii.net/quest/attacks.shtml:0
[   60163ms] [ERROR] Attestation check for Protected Audience on https://web.ads.aps.amazon-adsystem.com failed. @ https://www.serebii.net/quest/attacks.shtml:0
[   60163ms] [ERROR] Attestation check for Protected Audience on https://direct.adsrvr.org failed. @ https://www.serebii.net/quest/attacks.shtml:0
[   60163ms] [ERROR] Attestation check for Protected Audience on https://g2.gumgum.com failed. @ https://www.serebii.net/quest/attacks.shtml:0
[   60163ms] [ERROR] Attestation check for Protected Audience on https://exchange.cootlogix.com failed. @ https://www.serebii.net/quest/attacks.shtml:0
[   60163ms] [ERROR] Attestation check for Protected Audience on https://htlb.casalemedia.com failed. @ https://www.serebii.net/quest/attacks.shtml:0
[   60163ms] [ERROR] Attestation check for Protected Audience on https://btlr.sharethrough.com failed. @ https://www.serebii.net/quest/attacks.shtml:0
[   60163ms] [ERROR] Attestation check for Protected Audience on https://rtb.openx.net failed. @ https://www.serebii.net/quest/attacks.shtml:0
